class,category,indicator_name,series_name,sub_series_name,parameter,value,units,date_last_updated
Health,COVID-19,Tests per day,Tests by day,Tests by day,11/04/2020,1794,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,12/04/2020,1350,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,13/04/2020,1482,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,14/04/2020,3123,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,15/04/2020,4021,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,16/04/2020,4396,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,17/04/2020,4850,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,18/04/2020,3206,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,19/04/2020,2306,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,20/04/2020,5732,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,21/04/2020,7124,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,22/04/2020,6243,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,23/04/2020,6640,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,24/04/2020,6543,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,25/04/2020,2741,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,26/04/2020,2098,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,27/04/2020,2034,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,28/04/2020,5102,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,29/04/2020,5351,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,30/04/2020,5474,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,01/05/2020,5653,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,02/05/2020,2803,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,03/05/2020,1660,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,04/05/2020,5237,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,05/05/2020,6864,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,06/05/2020,7282,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,07/05/2020,7814,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,08/05/2020,8435,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,09/05/2020,3435,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,10/05/2020,1745,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,11/05/2020,5427,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,12/05/2020,7495,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,13/05/2020,6857,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,14/05/2020,6582,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,15/05/2020,5780,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,16/05/2020,2379,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,17/05/2020,1552,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,18/05/2020,5397,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,19/05/2020,5701,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,20/05/2020,5640,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,21/05/2020,5657,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,22/05/2020,4727,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,23/05/2020,1472,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,24/05/2020,1119,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,25/05/2020,4428,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,26/05/2020,4017,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,27/05/2020,3482,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,28/05/2020,3052,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,29/05/2020,2413,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,30/05/2020,769,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,31/05/2020,177,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,01/06/2020,671,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,02/06/2020,1149,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,03/06/2020,2720,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,04/06/2020,2717,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,05/06/2020,2993,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,06/06/2020,2076,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,07/06/2020,794,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,08/06/2020,990,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,09/06/2020,2641,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,10/06/2020,3427,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,11/06/2020,2915,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,12/06/2020,2934,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,13/06/2020,2484,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,14/06/2020,760,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,15/06/2020,1460,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,16/06/2020,3567,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,17/06/2020,4832,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,18/06/2020,6310,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,19/06/2020,7704,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,20/06/2020,6058,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,21/06/2020,3451,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,22/06/2020,4151,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,23/06/2020,8968,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,24/06/2020,10359,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,25/06/2020,10006,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,26/06/2020,9091,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,27/06/2020,5465,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,28/06/2020,2809,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,29/06/2020,1815,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,30/06/2020,4733,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,01/07/2020,3404,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,02/07/2020,3728,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,03/07/2020,2091,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,04/07/2020,587,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,05/07/2020,2611,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,06/07/2020,1850,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,07/07/2020,2188,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,08/07/2020,3003,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,09/07/2020,2665,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,10/07/2020,2102,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,11/07/2020,1721,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,12/07/2020,1091,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,13/07/2020,1534,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,14/07/2020,2791,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,15/07/2020,2827,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,16/07/2020,2351,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,17/07/2020,2575,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,18/07/2020,1436,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,19/07/2020,704,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,20/07/2020,955,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,21/07/2020,2196,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,22/07/2020,2366,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,23/07/2020,2746,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,24/07/2020,2394,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,25/07/2020,1682,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,26/07/2020,645,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,27/07/2020,1606,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,28/07/2020,2401,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,29/07/2020,2414,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,30/07/2020,2396,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,31/07/2020,3077,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,01/08/2020,2409,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,02/08/2020,1689,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,03/08/2020,1702,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,04/08/2020,4114,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,05/08/2020,4889,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,06/08/2020,4070,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,07/08/2020,3365,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,08/08/2020,4090,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,09/08/2020,2338,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,10/08/2020,1687,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,11/08/2020,4164,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,12/08/2020,5978,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,13/08/2020,15653,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,14/08/2020,23378,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,15/08/2020,23991,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,16/08/2020,25005,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,17/08/2020,18436,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,18/08/2020,22699,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,19/08/2020,17598,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,20/08/2020,14662,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,21/08/2020,12009,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,22/08/2020,7271,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,23/08/2020,4477,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,24/08/2020,4194,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,25/08/2020,8498,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,26/08/2020,8786,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,27/08/2020,10410,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,28/08/2020,10178,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,29/08/2020,10500,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,30/08/2020,6566,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,31/08/2020,8939,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,01/09/2020,11149,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,02/09/2020,10523,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,03/09/2020,9589,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,04/09/2020,8860,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,05/09/2020,7775,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,06/09/2020,3999,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,07/09/2020,4695,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,08/09/2020,8016,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,09/09/2020,7707,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,10/09/2020,8551,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,11/09/2020,8915,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,12/09/2020,7485,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,13/09/2020,3862,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,14/09/2020,3931,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,15/09/2020,8598,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,16/09/2020,8345,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,17/09/2020,7317,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,18/09/2020,8170,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,19/09/2020,5537,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,20/09/2020,3367,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,21/09/2020,3507,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,22/09/2020,6842,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,23/09/2020,6080,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,24/09/2020,6435,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,25/09/2020,5875,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,26/09/2020,5077,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,27/09/2020,3612,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,28/09/2020,3244,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,29/09/2020,4995,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,30/09/2020,5607,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,01/10/2020,4749,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,02/10/2020,6359,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,03/10/2020,4010,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,04/10/2020,2579,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,05/10/2020,3038,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,06/10/2020,5669,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,07/10/2020,6152,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,08/10/2020,5597,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,09/10/2020,4814,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,10/10/2020,3809,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,11/10/2020,2026,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,12/10/2020,3017,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,13/10/2020,5849,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,14/10/2020,5196,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,15/10/2020,5078,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,16/10/2020,4794,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,17/10/2020,3390,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,18/10/2020,1773,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,19/10/2020,2715,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,20/10/2020,6308,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,21/10/2020,7083,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,22/10/2020,6053,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,23/10/2020,7700,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,24/10/2020,5396,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,25/10/2020,3038,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,26/10/2020,2311,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,27/10/2020,3335,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,28/10/2020,7403,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,29/10/2020,7472,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,30/10/2020,5964,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,31/10/2020,4401,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,01/11/2020,3046,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,02/11/2020,2455,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,03/11/2020,7171,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,04/11/2020,6391,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,05/11/2020,6856,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,06/11/2020,5834,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,07/11/2020,4116,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,08/11/2020,3042,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,09/11/2020,2960,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,10/11/2020,5995,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,11/11/2020,6581,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,12/11/2020,7226,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,13/11/2020,6320,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,14/11/2020,10525,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,15/11/2020,5298,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,16/11/2020,6146,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,17/11/2020,8392,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,18/11/2020,8665,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,19/11/2020,9292,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,20/11/2020,7014,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,21/11/2020,6504,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,22/11/2020,3274,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,23/11/2020,3560,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,24/11/2020,5779,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,25/11/2020,9083,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,26/11/2020,7454,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,27/11/2020,6888,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,28/11/2020,5642,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,29/11/2020,2939,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,30/11/2020,3165,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,01/12/2020,7076,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,02/12/2020,5843,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,03/12/2020,6846,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,04/12/2020,6047,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,05/12/2020,5490,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,06/12/2020,2315,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,07/12/2020,2894,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,08/12/2020,6397,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,11/12/2020,4962,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,13/12/2020,4245,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,14/12/2020,2203,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,15/12/2020,5942,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,16/12/2020,5942,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,18/12/2020,4972,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,20/12/2020,4411,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,21/12/2020,2160,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,23/12/2020,5184,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,29/12/2020,2180,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,31/12/2020,4347,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,03/01/2021,1598,Number,15/02/2021
Health,COVID-19,Tests per day,Tests by day,Tests by day,05/01/2021,2156,Number,15/02/2021
